mstid	id	firstName	lastName	keyws_en
3958	4968	Sreèko	Devjak	Operation research, management, information system, statistics.
4011	4985	Jože	Baliè	Cybernetics, Manufacturing technology, automation, flexible manufacturing, intelligent manufacturing
4071	5007	Arpad	Koveš	Electrotechnical engineering, automation, cybernetics, energy research, welding
4078	5011	Boris	Štok	Technical physics, mechanics, heat conduction, electro-magnetics, modelling of technology processes, simulation of technological processes, optimization of technology processes, numerical methods, structural analysis
4107	5023	Janez	Diaci	Mechatronic and micromechanical systems, laser applications, manufacturing technologies, venture capital financing
4121	5028	Matija	Tuma	Power plants, gas and steam turbines, industrial energy savings
4142	5038	Maja	Atanasijeviæ Kunc	Modelling of processes, simulation of systems, control systems, multivariable systems, inteligent control and modelling.
4159	5045	Zdenko	Kodelja	Philosophy of education, epistemology of educational sciences, ethics and education, justice in education, theory of education.
4171	5052	Majda	Sfiligoj Smole	textile fibres, technical fibres, structural parameters, fiber properties, analytical methods, x-ray structural analysis, textile chemistry
4181	5056	Bojana	Korošec	management accounting, insurance business, business insurance
4293	5087	Janez	Rozman	Functional electrical stimulation, implantable and surface stimulating systems, implantable and surface stimulating electrodes, electrode systems for recording biosignals, sensors, biomechanics, biocompatibility and biomaterials
4316	5090	Igor	Emri	Polymers, composites, hybrid materials, mechanics of time dependent materials, experimental mechanics, modelling of mechanical properties of polymers, composites and hybrid materials, polymer processing, composite manufacturing and processing, hybrid materials and related technologies, monitoring...
4317	5091	Janko	Lužnik	Nuclear magnetic resonance,nuclear quadrupole resonance,biomagnetic measuremens,SQUID
4350	5103	Matjaž	Zorko	Biochemistry, enzymology, kinetics, thermodynamics, signal transduction, neurochemistry, receptions, G - proteins
4475	5140	Stanislav	Škrabl	civil engineering, geomechanics, geotechnical engineering, soil-structure interaction, geotechnical analysis, geomechanical investigations, laboratory tests
4487	5142	Milan	Jurše	international marketing, international management, export marketing, international strategic marketing
4530	5154	Anton	Hamler	Theory of the electrotechnics, numerical methods, force, torque, electrical parameters, modeling of the materials, rotating electromotors, linear electromotors, electromagnetic devices
4546	5162	Janez	Bešter	Telecommunications systems, telecommunications services, design and management of telecommunications network and services, telecommunications engineering, distance education.
4566	5170	Bojana	Boh	natural products chemistry,natural dyes,wood decomposing fungi,biodegradation,microencapsulation,scientific and technical informatics,information systems,added-value methods,QSAR,multimedia,chemical-science education
4570	5171	Jože	Pungerèar	Biochemistry, molecular biology, genetic engineering, protein engineering, molecular genetics, toxins, proteinases, proteinase inhibitors, phospholipases A2, cDNA, gene, molecular cloning, proteins
4628	5193	Jelka	Geršak	clothing engineering, material, model of treads, fabric mechanic, stady of mechanical and physical properties, fabric model, sewing, simulation, deformations model, objective evaluation, comfort, simu
4629	5194	Tatjana	Kreže	textile fibres, technical fibres, structural parameters, fibres properties, surface properties, electrokinetical properties, analytical methods, dyeing, textile testing, quality assurance
4763	5228	Marko	Mikuž	Experimental particle physics, fundamental symmetries, neutral kaons, large hadron collider (LHC), ATLAS spectrometer, particle tracker, semiconductor detectors, radiation damage.
4799	5236	Peter	Planinšiè	Signal processing, image processing, image coding, communication, circuits and systems
4810	5238	Saša Aleksej	Glažar	information methods and techiques, chemical education, preschool education, hazardous waste, university-industry cooperation, knowledge essessment, history of chemistry
4828	5242	Nataša	Zupanèiè-Brouwer	organic chemistry, chemical education
4965	5280	Karl	Gotlih	mechanics, numerical modelling, robotics, textile materials, mechanisms
4967	5281	Andrej	Brodnik	Computer science,data structures and algorithms,theoretical computer science,computer communications.
4997	5290	Janko	Gravner	Probability, cellular automata, interactive particle systems, statistical physics.
