cobissId	mstid
10000411	10642
10000411	24560
10000411	25977
10000411	28493
10000411	28570
10000411	28574
1000072	10412
1000072	6013
1000072	16114
1000072	18622
10001686	18388
10001686	7545
10001686	5483
10003478	13470
10003478	24994
10003478	21377
1000545	11536
10005531	15107
10005531	6415
10005531	8782
10005531	25462
10009622	21460
10010134	8067
10010134	11064
10010134	18061
10012950	16170
10012950	15571
10012950	21379
10012950	25799
10017051	23468
1002120	11150
1002120	8857
1002376	5098
10024726	4171
10024726	4629
10024726	7814
10024726	10575
10024726	27558
10025494	24334
10025494	19753
10025494	10575
10025494	7814
10025494	15077
10025499	6883
10025499	23470
1002632	5098
1002632	15657
1002632	17875
10027798	11865
10027798	21689
10027798	21690
10040347	18162
10050075	17209
10050075	11700
10050075	8451
10051606	24385
10051862	21460
10055708	27817
10055708	11869
10062102	17808
10062363	5566
10062363	26177
10071324	19108
10071324	15631
10077468	11073
100781	14082
100781	5221
100781	10903
100781	10260
10080283	15646
10080283	29224
10081051	28127
10081051	5210
10081051	5571
10081307	9286
10081307	18836
10081307	25460
10081307	21237
10081307	20046
10081307	23471
10084123	14556
10086678	10827
10086939	13469
10087195	13469
10087195	24245
10087446	15006
10087958	6821
10087958	20032
1008975	9565
1008975	8276
1008975	12183
1009001	12215
10092059	13469
10092059	21960
10092315	13469
1009274	15667
1009274	5091
1009274	4293
10095638	8475
10095638	8919
10095638	10814
10095638	18698
1009619	27826
10099739	15646
10099990	12659
10099990	11369
10100252	15500
10100252	31244
10101788	11869
10101788	10504
10101788	7017
10102550	9796
10102550	20199
10103062	20137
10103062	11064
10103062	8067
10103062	16304
10103067	15163
10103067	9129
10103067	24557
10103068	31244
10103068	15500
10103574	8061
10103574	21301
10103830	10878
10103835	9129
10103835	15163
10105110	22423
10105366	21301
10105366	21537
10105366	14027
10105366	8061
10105622	11945
10105622	18433
10105622	17876
10105622	22439
10105884	18866
10105884	15500
10106646	21460
10106907	15646
10106907	10926
10107670	6428
10107670	13481
10108955	15646
10108955	29224
10109529	7083
10109979	4316
10110235	14342
10110235	25467
10110553	27776
10111003	25461
10111003	24560
10111510	14335
10111510	10369
10111515	16148
10111515	24560
10112283	23010
10113307	23471
