cobissId	title_en	description_en	country	publisher	year	topology	journal	journal_impact_factor	journal_mean_value
10000411	Modified pre-curved patellar basket plate, reconstruction of the proper lengthand position of the patellar ligament	Biomechanical properties of basket plate fixation for fracture dislocation in the distal part of the patella were studied on 22 fresh-frozen lower extremities (human cadaveric knees). The patella and the patellar ligament with the proximal tibia were removed. A comminuted fracture of the distal partof the patella was created with a chisel. The fractured patella, patellar ligament and tibial tuberosity of each specimen were fixed with a basket plateand mounted into the jaws of the testing machine. The measured load to failure was 421.66 45.90 N, which is approximately 70% higher than the results in other studies. The results of the measurements verified the resultsof finite element analysis. The modified precurved patellar basket plate developed in this study showed improved performance compared to the pre-existing fixation methods.	gbr	Butterworth-Heinemann	2007	1.01	The knee	1.307	1.197
1000072	Characterization of the mouse lanosterol 14[alfa]-demetylase (CYP51), a new member of the evolutionarily most conserved cytochrome P450 family	Genes encoding sterol 14[alfa]-demethylases in eukaryotes and in Mycobacterium to the CYP51 family which is evolutionary the most conserved gene family within the cytochrome P450 superfamily. We have characterized a new member of this family, the mouse lanosterol 14]alfa]-demethylase, with the aim to study the in vivo role of this gene in spermatogenesis in mammals. The amino acid sequence of mouse Cyp51 is 96% to human. Comparion of all known CYP51 proteins by the neighbor-joining method suggests that fungal and animal CYP51 genes arose from a common ancestral gene (98.3% probability) and interestingly, that plant and bacterial CYP51 genes share a common progenitor (88.8% probability). This suggests that the first CYP51 gene may have arisen in eukaryotes and has been transferred horizontally from plants to Mycobacterium. The mouse CYP51 gene is ~17-kb long and contains 10 exons. Transcription starts at several locations within the CpG island, which is characteristic for the TATA-less housekeeping genes. The mouse 5´-untranslatedregion (800 bp) contains putative cAMP-responsive elements (CRE), sterol regulatory elements (SRE) and GC-boxes at positions similar to human and rat, sugesting an evolutionary conserved mechanism of CYP51 transcriptional regulation in mammals. The mouse Cyp51 gene resides on chromosome 5, region A2, close to the centromere. No signals, outside this region were detected as well as no evidence of processed pseudogenes using long PCR was found. This indicates that the mouse genome most likely lacksCYP51 processed pseudogenes.	usa	Academic Press.	2000	1.01	Archives of biochemistry and biophysics	2.576	2.504
10001686	Wet-phase-separation membranes from the polysulfone/N,N-dimethylacetamide/water ternary system: the formation and elements of their structure and properties	Asymmetric and porous polysulfone (PSf) membranes were prepared by wet phase separation. Binary (PSf)/N,N-dimethylacetamide (DMA) solutions with polymer concentrations of 12.5-30 wt % were cast in thicknesses of 80-700 m and immersed in a coagulation bath of pure water. The morphology of the formed membranesæ cross sections consisted of a cellular structure and macrovoidsè the cellular structure density was highest when the cast solution contained about 21 wt % PSf, regardless of the cast thickness. The membranesæ pure waterpermeability decreased as the cast thickness increased. The instantaneousonset of the turbidity, regardless of the PSf content and cast thickness, its steep growth, and relatively high end value were the main characteristics of the turbidity phenomena taking place during the formation of the protomembranes. Again, the membrane-forming system with a PSf/DMA solution with about 21 wt % polymer, regardless of the cast thickness, had thehighest turbidity end value. The shrinkage of the cast solutions into the corresponding protomembrane was also examined quantitatively. Inverse experiments showed that the direction of the gravitation field had no influence on the shrinkage of the membrane-forming ternary system or the membranesæ morphology and its water permeability.	usa	Wiley.	2005	1.01	Journal of applied polymer science	1.072	1.376
10003478	Utilization of bottom ash from the incineration of separated wastes as a cement substitute	Waste incineration is still an essential technology in the concept of integrated waste management. Most of the combustion residues are incinerator bottom ash. It has been discovered that incinerator bottom ash from the incineration of separated waste in the primary chamber of the modular two-stage incinerator mainly consists of metal oxides, especially SiO2 and CaO, in proportions that are quite similar to those in cement and so the feasibility of its application as a substitute for cement in concrete was investigated. It was found that after 28 days, the flexural and compressive strengths of the binder using bottom ash were practically comparable with those of a pure cement mixture. The results show that it is reasonable to use a binder containing incinerator bottom ash for applications in which an early-stage lower strength of concrete element is acceptable.	gbr	International Solid Waste Association	2005	1.01	Waste management & research	0.396	1.081
1000545	Automatic derivation of sensivity terms for mixed Galerkin-collocation problems	The paper presents the use of the SMS system (Symbolic Mechanics System) for the automatic derivation and coding of sensitivity terms in finite element analysis. General symbolic derivation of analytical sensitivity terms for general mixed Galerkin-collocation problems is difficult due to the complex (implicit) interactions between different levels of computation. The approach implemented in SMS avoids this problem by combining several techniques: symbolic capabilities of Mathematica, automatic differentation technique, simultaneous optimisation of expressions and stochastic evaluation of the formulae	deu	Wiley-VCH	2000	1.01	Zeitschrift für angewandte Mathematik und Mechanik	0.407	0.713
10005531	Forecasting risks of natural gas consumption in Slovenia	Efficient operation of modern energy distribution systems often requires forecasting future energy demand. This paper proposes a strategy to estimate forecasting risk. The objective of the proposed method is to improve knowledgeabout expected forecasting risk and to estimate the expected cash flow in advance, based on the risk model. The strategy combines an energy demand forecasting model, an economic incentive model and a risk model. Basic guidelines are given for the construction of a forecasting model that combinespast energy consumption data, weather data and weather forecast. The forecasting model is required to estimate expected forecasting errors that arethe basis for forecasting risk estimation. The risk estimation strategy also requires an economic incentive model that describes the influence of forecasting accuracy on the energy distribution systemsæ cash flow. The economic model defines the critical forecasting error levels that most strongly influence cash flow. Based on the forecasting model and the economic model, the development of a risk model is proposed. The risk model is associated with critical forecasting error levels in the context of various influential parameters such as seasonal data, month, day of the week and temperature. The risk model is applicable to estimating the daily forecasting risk based on the influential parameters. The proposed approach is illustrated by a case study of a Slovenian natural gas distribution company.	gbr	IPC Science and Technology Press Ltd	2007	1.01	Energy policy	1.901	1.086
10009622	Enzymatic reactions in dense gases	This article is oriented on application of dense gases as alternative reaction media for enzyme-catalyzed reactions. The main factors influencing enzyme stability (water activity, pressure, temperature, pressurization/depressurization) and the influence of process parameters on the initial reaction rates and productivity are presented.	nld	Elsevier Science	2005	1.01	Biochemical engineering journal	1.781	0.922
10010134	Automated software size estimation based on function points using UML models	A systematic approach to software size estimation is important for accurate project planning. In this paper, we will propose the unified mapping of UML model s into function points. The mapping is formally described to enable the automation of the counting procedure. Three estimation levels are defined that correspond to the different abstraction levels of the software system. The level of abstraction influences an estimate's accuracy. Our research, based on a small data set, proved that accuracy increases with each subsequent abstraction level. Changes to the FPA complexity tables for transactional functions will also be proposed in order to better quantify the characteristics of object-oriented software.	gbr	Elsevier Science	2005	1.01	Information and software technology	0.435	0.937
10012950	Analytical travel time models for multi aisle automated storage and retrieval systems	Multi aisle automated storage and retrieval systems correspond to multiple picking aisles served by a single storage and retrieval machine. These systemsare used in practice when the need for pallet places is high and the throughput capacity is relatively low. Therefore, considerable savings of initial investment costs due to single aisle systems can be achieved using such systems. The objective of the presented study is to develop analytical travel time models for multi aisle automated storage and retrieval systems considering the operating characteristics of the storage and retrieval machine. With the proposed analytical travel time models, average travel time of the storage and retrieval machine, from which the performance of multi aisle automated storage and retrieval systems can be evaluated is determined. A simulation model of multi aisle automated storage and retrieval systems was developed to compare the performances of the proposed analytical travel time models. An example of multi aisle automated storage and retrieval systems withfive picking aisles was presented for the evaluation purpose. The results show that proposed analytical travel time models perform satisfactory according to the results of simulation analysis and could be very useful toolsfor designing of multi aisle automated storage and retrieval systems in real-world applications.	nld	IFS Publications	2005	1.01	International journal, advanced manufacturing technology	0.406	0.565
10017051	Modelling of the twin-entry turbocharger turbine	An original physical model to calculate the fluid dynamics and energy conversion in twin-entry turbocharger turbines for internal combustion enginesis presented. The model is to be used as the boundary condition for one-dimensional wave action techniques and is also capable of considering variable gas properties and composition. The model is based on a simple variable-area approach; however, it is capable of adequately modelling complex flows that occur in multi-cylinder turbocharged engines. This is confirmed through the good agreement between calculated and measured turbine and engine parameters.	gbr	The Institution of Mechanical Engineers	2007	1.01	Proceedings of the Institution of Mechanical Engineers	0.280	0.73
